"","klub","grb","st.igralcev","povprecna.starost","stevilo.tujcev","valuta","povprecna_trzna_vrednost_v_mil","celotna_trzna_vrednost","enota_za_cel_trzno_vr"
"1","Manchester City ","https://tmssl.akamaized.net/images/wappen/head/281.png?lm=1467356331",36,24.9,23,"€",29.01,1.04,"bn"
"2","Liverpool","https://tmssl.akamaized.net/images/wappen/head/31.png?lm=1456567819",43,24.4,28,"€",22.55,969.65,"m"
"3","Chelsea","https://tmssl.akamaized.net/images/wappen/head/631.png?lm=1628160548",39,25.2,23,"€",22.8,889.2,"m"
"4","Manchester United ","https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903",39,24.9,24,"€",19.74,770.05,"m"
"5","Tottenham Hotspur ","https://tmssl.akamaized.net/images/wappen/head/148.png?lm=1544345801",41,24.6,23,"€",17.16,703.5,"m"
"6","Arsenal","https://tmssl.akamaized.net/images/wappen/head/11.png?lm=1489787850",42,24.4,26,"€",14.74,619.25,"m"
"7","Everton","https://tmssl.akamaized.net/images/wappen/head/29.png?lm=1445949846",44,24.7,26,"€",11.62,511.2,"m"
"8","Leicester City ","https://tmssl.akamaized.net/images/wappen/head/1003.png?lm=1472229265",40,25.3,26,"€",12.77,510.7,"m"
"9","Wolverhampton Wanderers ","https://tmssl.akamaized.net/images/wappen/head/543.png?lm=1467496784",38,23.9,32,"€",11.85,450.3,"m"
"10","Aston Villa ","https://tmssl.akamaized.net/images/wappen/head/405.png?lm=1469443765",53,23.3,24,"€",8.13,430.75,"m"
"11","West Ham United ","https://tmssl.akamaized.net/images/wappen/head/379.png?lm=1464675260",39,26.5,23,"€",8.59,334.9,"m"
"12","Brighton & Hove Albion ","https://tmssl.akamaized.net/images/wappen/head/1237.png?lm=1492718902",46,24.3,29,"€",6.31,290.4,"m"
"13","Southampton","https://tmssl.akamaized.net/images/wappen/head/180.png?lm=1444560086",39,24.5,19,"€",7.25,282.8,"m"
"14","Newcastle United ","https://tmssl.akamaized.net/images/wappen/head/762.png?lm=1472921161",33,26.9,18,"€",7.74,255.35,"m"
"15","Fulham","https://tmssl.akamaized.net/images/wappen/head/931.png?lm=1556831687",38,26.4,30,"€",6.31,239.75,"m"
"16","Leeds United  ","https://tmssl.akamaized.net/images/wappen/head/399.png?lm=1645652224",39,24.5,23,"€",6.11,238.1,"m"
"17","Crystal Palace ","https://tmssl.akamaized.net/images/wappen/head/873.png?lm=1457723287",36,27.7,18,"€",5.38,193.85,"m"
"18","Sheffield United ","https://tmssl.akamaized.net/images/wappen/head/350.png?lm=1409254138",40,24.9,15,"€",3.75,149.85,"m"
"19","West Bromwich Albion  ","https://tmssl.akamaized.net/images/wappen/head/984.png?lm=1457991758",43,26.1,18,"€",3.28,141.15,"m"
"20","Burnley","https://tmssl.akamaized.net/images/wappen/head/1132.png?lm=1587809239",32,26.6,11,"€",4.13,132.3,"m"
